Ref,Val,Package,PosX,PosY,Rot,Side
"D232","WW_2700K","Candle_LED_0603_Matrix",25.150000,-381.200000,90.000000,bottom
"D233","WW_2700K","Candle_LED_0603_Matrix",4.850000,-378.300000,90.000000,bottom
"D234","WW_2700K","Candle_LED_0603_Matrix",7.750000,-378.300000,90.000000,bottom
"D235","WW_2700K","Candle_LED_0603_Matrix",10.650000,-378.300000,90.000000,bottom
"D236","WW_2700K","Candle_LED_0603_Matrix",13.550000,-378.300000,90.000000,bottom
"D237","WW_2700K","Candle_LED_0603_Matrix",16.450000,-378.300000,90.000000,bottom
"D238","WW_2700K","Candle_LED_0603_Matrix",19.350000,-378.300000,90.000000,bottom
"D239","WW_2700K","Candle_LED_0603_Matrix",22.250000,-378.300000,90.000000,bottom
"D240","WW_2700K","Candle_LED_0603_Matrix",25.150000,-378.300000,90.000000,bottom
"D241","WW_2700K","Candle_LED_0603_Matrix",4.850000,-375.400000,90.000000,bottom
"D242","WW_2700K","Candle_LED_0603_Matrix",7.750000,-375.400000,90.000000,bottom
"D243","WW_2700K","Candle_LED_0603_Matrix",10.650000,-375.400000,90.000000,bottom
"D244","WW_2700K","Candle_LED_0603_Matrix",13.550000,-375.400000,90.000000,bottom
"D245","WW_2700K","Candle_LED_0603_Matrix",16.450000,-375.400000,90.000000,bottom
"D246","WW_2700K","Candle_LED_0603_Matrix",19.350000,-375.400000,90.000000,bottom
"D247","WW_2700K","Candle_LED_0603_Matrix",22.250000,-375.400000,90.000000,bottom
"D248","WW_2700K","Candle_LED_0603_Matrix",25.150000,-375.400000,90.000000,bottom
"D249","WW_2700K","Candle_LED_0603_Matrix",4.850000,-372.500000,90.000000,bottom
"D250","WW_2700K","Candle_LED_0603_Matrix",7.750000,-372.500000,90.000000,bottom
"D251","WW_2700K","Candle_LED_0603_Matrix",10.650000,-372.500000,90.000000,bottom
"D252","WW_2700K","Candle_LED_0603_Matrix",13.550000,-372.500000,90.000000,bottom
"D253","WW_2700K","Candle_LED_0603_Matrix",16.450000,-372.500000,90.000000,bottom
"D254","WW_2700K","Candle_LED_0603_Matrix",19.350000,-372.500000,90.000000,bottom
"D255","WW_2700K","Candle_LED_0603_Matrix",22.250000,-372.500000,90.000000,bottom
"D256","WW_2700K","Candle_LED_0603_Matrix",25.150000,-372.500000,90.000000,bottom
"R2","20k","R_0603_1608Metric",6.800000,-323.000000,90.000000,bottom
"U3","IS31FL3731-QF","QFN-28-1EP_4x4mm_P0.4mm_EP2.3x2.3mm",15.000000,-328.000000,0.000000,bottom
"C1","100n","C_0603_1608Metric",23.200000,-343.000000,90.000000,top
"C2","4.7u","C_0805_2012Metric",6.800000,-343.000000,90.000000,top
"C5","100n","C_0603_1608Metric",20.200000,-236.000000,90.000000,top
"C6","10u","C_0805_2012Metric",15.000000,-55.000000,90.000000,top
"C7","1u","C_0603_1608Metric",20.000000,-324.000000,90.000000,top
"D1","WW_2700K","Candle_LED_0603_Matrix",4.850000,-416.000000,90.000000,top
"D2","WW_2700K","Candle_LED_0603_Matrix",7.750000,-416.000000,90.000000,top
"D3","WW_2700K","Candle_LED_0603_Matrix",10.650000,-416.000000,90.000000,top
"D4","WW_2700K","Candle_LED_0603_Matrix",13.550000,-416.000000,90.000000,top
"D5","WW_2700K","Candle_LED_0603_Matrix",16.450000,-416.000000,90.000000,top
"D6","WW_2700K","Candle_LED_0603_Matrix",19.350000,-416.000000,90.000000,top
"D7","WW_2700K","Candle_LED_0603_Matrix",22.250000,-416.000000,90.000000,top
"D8","WW_2700K","Candle_LED_0603_Matrix",25.150000,-416.000000,90.000000,top
"D9","WW_2700K","Candle_LED_0603_Matrix",4.850000,-413.100000,90.000000,top
"D10","WW_2700K","Candle_LED_0603_Matrix",7.750000,-413.100000,90.000000,top
"D11","WW_2700K","Candle_LED_0603_Matrix",10.650000,-413.100000,90.000000,top
"D12","WW_2700K","Candle_LED_0603_Matrix",13.550000,-413.100000,90.000000,top
"D13","WW_2700K","Candle_LED_0603_Matrix",16.450000,-413.100000,90.000000,top
"D14","WW_2700K","Candle_LED_0603_Matrix",19.350000,-413.100000,90.000000,top
"D15","WW_2700K","Candle_LED_0603_Matrix",22.250000,-413.100000,90.000000,top
"D16","WW_2700K","Candle_LED_0603_Matrix",25.150000,-413.100000,90.000000,top
"D17","WW_2700K","Candle_LED_0603_Matrix",4.850000,-410.200000,90.000000,top
"D18","WW_2700K","Candle_LED_0603_Matrix",7.750000,-410.200000,90.000000,top
"D19","WW_2700K","Candle_LED_0603_Matrix",10.650000,-410.200000,90.000000,top
"D20","WW_2700K","Candle_LED_0603_Matrix",13.550000,-410.200000,90.000000,top
"D21","WW_2700K","Candle_LED_0603_Matrix",16.450000,-410.200000,90.000000,top
"D22","WW_2700K","Candle_LED_0603_Matrix",19.350000,-410.200000,90.000000,top
"D23","WW_2700K","Candle_LED_0603_Matrix",22.250000,-410.200000,90.000000,top
"D24","WW_2700K","Candle_LED_0603_Matrix",25.150000,-410.200000,90.000000,top
"D25","WW_2700K","Candle_LED_0603_Matrix",4.850000,-407.300000,90.000000,top
"D26","WW_2700K","Candle_LED_0603_Matrix",7.750000,-407.300000,90.000000,top
"D27","WW_2700K","Candle_LED_0603_Matrix",10.650000,-407.300000,90.000000,top
"D28","WW_2700K","Candle_LED_0603_Matrix",13.550000,-407.300000,90.000000,top
"D29","WW_2700K","Candle_LED_0603_Matrix",16.450000,-407.300000,90.000000,top
"D30","WW_2700K","Candle_LED_0603_Matrix",19.350000,-407.300000,90.000000,top
"D31","WW_2700K","Candle_LED_0603_Matrix",22.250000,-407.300000,90.000000,top
"D32","WW_2700K","Candle_LED_0603_Matrix",25.150000,-407.300000,90.000000,top
"D33","WW_2700K","Candle_LED_0603_Matrix",4.850000,-404.400000,90.000000,top
"D34","WW_2700K","Candle_LED_0603_Matrix",7.750000,-404.400000,90.000000,top
"D35","WW_2700K","Candle_LED_0603_Matrix",10.650000,-404.400000,90.000000,top
"D36","WW_2700K","Candle_LED_0603_Matrix",13.550000,-404.400000,90.000000,top
"D37","WW_2700K","Candle_LED_0603_Matrix",16.450000,-404.400000,90.000000,top
"D38","WW_2700K","Candle_LED_0603_Matrix",19.350000,-404.400000,90.000000,top
"D39","WW_2700K","Candle_LED_0603_Matrix",22.250000,-404.400000,90.000000,top
"D40","WW_2700K","Candle_LED_0603_Matrix",25.150000,-404.400000,90.000000,top
"D41","WW_2700K","Candle_LED_0603_Matrix",4.850000,-401.500000,90.000000,top
"D42","WW_2700K","Candle_LED_0603_Matrix",7.750000,-401.500000,90.000000,top
"D43","WW_2700K","Candle_LED_0603_Matrix",10.650000,-401.500000,90.000000,top
"D44","WW_2700K","Candle_LED_0603_Matrix",13.550000,-401.500000,90.000000,top
"D45","WW_2700K","Candle_LED_0603_Matrix",16.450000,-401.500000,90.000000,top
"D46","WW_2700K","Candle_LED_0603_Matrix",19.350000,-401.500000,90.000000,top
"D47","WW_2700K","Candle_LED_0603_Matrix",22.250000,-401.500000,90.000000,top
"D48","WW_2700K","Candle_LED_0603_Matrix",25.150000,-401.500000,90.000000,top
"D49","WW_2700K","Candle_LED_0603_Matrix",4.850000,-398.600000,90.000000,top
"D50","WW_2700K","Candle_LED_0603_Matrix",7.750000,-398.600000,90.000000,top
"D51","WW_2700K","Candle_LED_0603_Matrix",10.650000,-398.600000,90.000000,top
"D52","WW_2700K","Candle_LED_0603_Matrix",13.550000,-398.600000,90.000000,top
"D53","WW_2700K","Candle_LED_0603_Matrix",16.450000,-398.600000,90.000000,top
